variant,file,mean_brightness_orig,mean_brightness_enh,mean_brightness_balance,contrast_orig,contrast_enh,entropy_orig,entropy_enh,edge_strength_orig,edge_strength_enh,laplacian_var_orig,laplacian_var_enh,over_exposure_orig,over_exposure_enh,noise_est_orig,noise_est_enh,edge_keep_ratio,ssim_to_original,Q_score
w/o Retinex,D:\A题代码_公式包\clear text\cam213_03-02_09-42.jpeg,0.5103495121002197,0.47382572293281555,0.8615013144233009,0.22963389001717865,0.22958461596189425,7.4589972496032715,7.420718193054199,0.25393420457839966,0.31739291548728943,1751.858736912716,2176.3160326639727,0.04533617424242424,0.00917376893939394,0.053465258330106735,0.07082612812519073,1.2499022661297412,0.960201189418774,0.4460474905749906
w/o Retinex,D:\A题代码_公式包\clear text\cam217_02-02_10-12.jpeg,0.429484099149704,0.3949275016784668,0.7180500030517578,0.16727344484763587,0.17672161877513326,7.160552024841309,7.239560127258301,0.2021077275276184,0.2690061032772064,1477.9653163205735,1834.4590797130068,0.00537109375,0.006827059659090909,0.041851941496133804,0.058136001229286194,1.331003544792953,0.9506714498613924,0.3921276355629535
w/o Retinex,D:\A题代码_公式包\clear text\cam217_02-02_22-14.jpeg,0.32912367582321167,0.3319430351257324,0.6035327911376953,0.18497688819934538,0.19812180924883632,6.940121650695801,7.097497940063477,0.25151681900024414,0.3200835585594177,1650.60771162858,2155.965749907822,0.006995738636363637,0.007927911931818183,0.053312722593545914,0.07282144576311111,1.2726129677416516,0.9527604868904411,0.38423790758542337
w/o Retinex,D:\A题代码_公式包\clear text\cam219_12-02_14-11.jpeg,0.5230683088302612,0.4781891703605652,0.8694348552010276,0.24670342007792379,0.23512776745351763,7.45262336730957,7.43585205078125,0.16899456083774567,0.20771251618862152,2029.9695992823058,2301.7459225494345,0.06899562026515152,0.01084280303030303,0.04131763428449631,0.052112970501184464,1.2291076746797216,0.9673871114145957,0.42416577930637744
w/o Retinex,D:\A题代码_公式包\clear text\cam219_17-02_07-23.jpeg,0.5172582268714905,0.4773366153240204,0.8678847551345824,0.23336481924995353,0.22584331232833985,7.464069843292236,7.419550895690918,0.18067467212677002,0.22830599546432495,2079.79708100135,2435.1586875448847,0.022676964962121213,0.011153527462121213,0.04498787224292755,0.05847826972603798,1.2636303562266027,0.9633158822060576,0.4340577580747885
w/o Retinex,D:\A题代码_公式包\clear text\cam223_02-02_20-10.jpeg,0.2088296115398407,0.22278641164302826,0.4050662029873241,0.1546348194056408,0.16383058033409387,6.307554244995117,6.645709037780762,0.14892050623893738,0.1966511458158493,1687.4899537020624,2132.7596177071277,0.01894675925925926,0.010133101851851851,0.04401829466223717,0.062088824808597565,1.320510902879773,0.9489716632818262,0.3034547727326557
w/o Retinex,D:\A题代码_公式包\clear text\cam223_17-02_07-40.jpeg,0.4101335406303406,0.3778400719165802,0.6869819489392367,0.17385384198198783,0.1867922538347907,7.011262893676758,7.216375350952148,0.21184377372264862,0.29349544644355774,1786.9067187135297,2509.6927314787686,0.008278356481481482,0.006753472222222222,0.05599761754274368,0.08247876167297363,1.3854334784660556,0.939359312361786,0.41970230296096267
w/o Retinex,D:\A题代码_公式包\clear text\cam223_17-02_20-11.jpeg,0.24764880537986755,0.248007133603096,0.4509220610965382,0.1924282372189158,0.19163828936126642,6.585716247558594,6.755786418914795,0.14304658770561218,0.17565619945526123,1440.3654890036164,1615.5062065680777,0.030338541666666666,0.01855902777777778,0.03455556556582451,0.045621585100889206,1.227965022675233,0.9596520838131158,0.29090284788680043
w/o Retinex,D:\A题代码_公式包\clear text\cam223_17-02_20-42.jpeg,0.2897794544696808,0.2787826359272003,0.506877519867637,0.16807233772777352,0.17038121421715938,6.905741214752197,6.969272136688232,0.13688693940639496,0.17705483734607697,1413.7927574568303,1617.3814480830356,0.01659722222222222,0.015381944444444445,0.03332369774580002,0.0456918440759182,1.2934384706838784,0.9546959087438295,0.31085595512485786
w/o Retinex,D:\A题代码_公式包\clear text\cam23_03-02_01-52 - .jpeg,0.2966262996196747,0.28119152784347534,0.5112573233517733,0.13466613120687704,0.15384654250764623,6.550930500030518,6.8406662940979,0.16670888662338257,0.23325401544570923,1698.5361129917642,2259.1134230805987,0.008153935185185186,0.008148148148148147,0.04665429890155792,0.06901048123836517,1.3991697013498454,0.9346171556307721,0.34903659630016426
w/o Retinex,D:\A题代码_公式包\clear text\cam23_17-02_19-25 - .jpeg,0.28572556376457214,0.2654304504394531,0.48260081898082385,0.16026653537510654,0.15991024346322819,6.5880560874938965,6.570350646972656,0.13315512239933014,0.17508412897586823,1628.6478066003033,2059.5879364822367,0.014554398148148148,0.00859375,0.039349716156721115,0.05551780387759209,1.3148884791713455,0.9545339514403421,0.3068361578690536
w/o Retinex,D:\A题代码_公式包\clear text\cam245_02-02_22-06.jpeg,0.2840006351470947,0.3073732256889343,0.5588604103435169,0.23084423765321924,0.23117004888310133,7.325503826141357,7.471120357513428,0.27257803082466125,0.365337610244751,1042.9568289361032,1899.5664503944809,0.024849076704545454,0.006862571022727273,0.06421543657779694,0.09367815405130386,1.3403045769078534,0.9300990824371663,0.41299307636109245
w/o Retinex,D:\A题代码_公式包\clear text\cam245_17-02_08-16.jpeg,0.44812455773353577,0.44687214493751526,0.8124948089773004,0.2241473731888966,0.23357452098258685,7.674623012542725,7.725811004638672,0.44583937525749207,0.583599865436554,3742.2073267323785,6202.150351135388,0.014527107007575757,0.013754734848484848,0.12536169588565826,0.17682911455631256,1.3089912726613853,0.9376142964141592,0.6065023119669072
w/o Retinex,D:\A题代码_公式包\clear text\cam245_17-02_09-21.jpeg,0.46433645486831665,0.4430767297744751,0.8055940541354092,0.1960719750975638,0.20801855457887367,7.488080024719238,7.579083442687988,0.3607501983642578,0.4550100266933441,3017.6789189265646,4694.499628174522,0.013109611742424242,0.013645241477272727,0.09459865093231201,0.12822048366069794,1.2612883417469183,0.9567628537876307,0.5207758466044833
w/o Retinex,D:\A题代码_公式包\clear text\cam245_17-02_20-38.jpeg,0.3003353774547577,0.32450512051582336,0.5900093100287698,0.23320459056242654,0.23655763443120556,7.408227920532227,7.5168256759643555,0.2427177131175995,0.2961135506629944,2052.6313491078577,2774.7058182408637,0.04315814393939394,0.03251657196969697,0.06132237985730171,0.08087731897830963,1.2199915401547117,0.9504169619731989,0.40170432470143547
w/o Retinex,D:\A题代码_公式包\clear text\cam245_17-02_20-47.jpeg,0.3330221474170685,0.3497972786426544,0.6359950520775535,0.23570241657401403,0.23427448482271074,7.497023582458496,7.56233024597168,0.2533687651157379,0.3149099051952362,2196.9403823276657,3000.6503281995197,0.048384232954545456,0.03555279356060606,0.06717271357774734,0.08957331627607346,1.2428916322791637,0.9472633495221303,0.4230441937293873
